Wavelength,Toluene,EtOH,DMF,ACN,MeOH,Hexanes,Acetone
680,0.021802591,0.023377622,0.022869948,0.02196283,0.020511218,0.02556654,0.02112831
679,0.02165471,0.023384916,0.022797484,0.022032677,0.020426366,0.025495408,0.021097221
678,0.021728508,0.023499175,0.022701274,0.022095863,0.02054506,0.025406641,0.021301975
677,0.021888284,0.023527129,0.02283175,0.022192728,0.020540582,0.025475946,0.021371933
676,0.021839855,0.02336552,0.022863073,0.022335833,0.020627926,0.025479268,0.021420745
675,0.021883901,0.023425649,0.022648255,0.022307601,0.020759682,0.025408699,0.021268644
674,0.021738197,0.023566045,0.02261763,0.022324442,0.02082165,0.025531289,0.021356652
673,0.021967432,0.023468353,0.022864,0.022259261,0.020743281,0.025694063,0.021538161
672,0.02202625,0.023489228,0.022991332,0.022497414,0.020869069,0.02580536,0.021584706
671,0.021925365,0.023502946,0.022985055,0.022445455,0.020852366,0.025810359,0.021580489
670,0.021878211,0.023486414,0.022816226,0.022103898,0.020979462,0.025675141,0.021560793
669,0.021807409,0.023410568,0.02272825,0.022106022,0.020702419,0.025533018,0.02134806
668,0.021918558,0.023461741,0.022694892,0.022229072,0.020655018,0.025632658,0.021376937
667,0.021928768,0.023597857,0.022828913,0.022292995,0.020811629,0.025646745,0.021555489
666,0.021807817,0.0234592,0.02275029,0.022069525,0.020805437,0.025726389,0.021542105
665,0.021688941,0.023485594,0.022667591,0.022052531,0.020724031,0.025610334,0.021409133
664,0.021855344,0.023496907,0.022812407,0.022135876,0.020979191,0.025646635,0.021509871
663,0.022199812,0.023544619,0.022911643,0.022394947,0.020932086,0.025921659,0.02167988
662,0.022277953,0.023687049,0.023209569,0.022515271,0.021204927,0.026055085,0.02198494
661,0.022306729,0.023738938,0.023205228,0.02257111,0.021140566,0.025991239,0.021864491
660,0.022155625,0.023756272,0.023041991,0.022418606,0.021084748,0.025823189,0.021805368
659,0.021834765,0.023497371,0.022719221,0.022162708,0.020832296,0.025661135,0.021629488
658,0.021887576,0.02357878,0.022780215,0.022324714,0.020868662,0.025537493,0.021761194
657,0.022096789,0.023801962,0.023039835,0.022529721,0.021078661,0.025653006,0.021996595
656,0.022138572,0.023741152,0.022933993,0.022415035,0.020997312,0.025706284,0.021839093
655,0.022327521,0.023605647,0.023228849,0.022649127,0.021034126,0.025940866,0.022098505
654,0.022333135,0.023724338,0.023194988,0.02279923,0.021220013,0.026043788,0.02238072
653,0.022326758,0.023603269,0.023182864,0.022600395,0.021010407,0.025922401,0.022243567
652,0.022243131,0.02368057,0.02308979,0.022559058,0.020902994,0.025830991,0.02218036
651,0.022371208,0.023794715,0.023112859,0.022649564,0.021107928,0.02563675,0.022183275
650,0.022330383,0.023871695,0.023158235,0.022797457,0.020954252,0.025696644,0.022264711
649,0.022409365,0.023988052,0.023202934,0.02274197,0.021169728,0.025810607,0.022275337
648,0.022269697,0.023953038,0.023079935,0.022665054,0.021050293,0.025732816,0.022325941
647,0.02212577,0.023965949,0.023252389,0.022668027,0.02087404,0.025694337,0.02239064
646,0.022391921,0.024070182,0.023187287,0.0226791,0.020977778,0.025740891,0.022239916
645,0.022225449,0.024006654,0.023216942,0.022703074,0.02121001,0.025791295,0.022275419
644,0.02229027,0.024208077,0.02314917,0.022740252,0.021029208,0.025716693,0.022264493
643,0.022122556,0.024264134,0.02328183,0.022748817,0.021037305,0.025926715,0.022522141
642,0.022570728,0.024142258,0.023346781,0.022868966,0.020990791,0.025806211,0.022698737
